Episode 1 | Score: 10 | Total Reward: 88.20000000000007 | Epsilon: 0.848
Episode 2 | Score: 0 | Total Reward: -10.4 | Epsilon: 0.843
Episode 3 | Score: 0 | Total Reward: -10.7 | Epsilon: 0.839
Episode 4 | Score: 0 | Total Reward: -10.7 | Epsilon: 0.835
Episode 5 | Score: 0 | Total Reward: -10.5 | Epsilon: 0.831
Episode 6 | Score: 10 | Total Reward: 87.50000000000011 | Epsilon: 0.827
Episode 7 | Score: 0 | Total Reward: -10.7 | Epsilon: 0.822
Episode 8 | Score: 10 | Total Reward: 89.40000000000003 | Epsilon: 0.818
Episode 9 | Score: 10 | Total Reward: 90.0 | Epsilon: 0.814
Episode 10 | Score: 0 | Total Reward: -10.5 | Epsilon: 0.810
Episode 11 | Score: 0 | Total Reward: -10.2 | Epsilon: 0.806
Episode 12 | Score: 0 | Total Reward: -10.6 | Epsilon: 0.802
Episode 13 | Score: 0 | Total Reward: -10.0 | Epsilon: 0.798
Episode 14 | Score: 0 | Total Reward: -11.2 | Epsilon: 0.794
Episode 15 | Score: 0 | Total Reward: -11.4 | Epsilon: 0.790
Episode 16 | Score: 10 | Total Reward: 88.90000000000002 | Epsilon: 0.786
Episode 17 | Score: 0 | Total Reward: -10.6 | Epsilon: 0.782
Episode 18 | Score: 0 | Total Reward: -10.6 | Epsilon: 0.778
Episode 19 | Score: 0 | Total Reward: -10.8 | Epsilon: 0.774
Episode 20 | Score: 20 | Total Reward: 187.70000000000013 | Epsilon: 0.771
Episode 21 | Score: 0 | Total Reward: -10.7 | Epsilon: 0.767
Episode 22 | Score: 0 | Total Reward: -10.4 | Epsilon: 0.763
Episode 23 | Score: 10 | Total Reward: 89.60000000000001 | Epsilon: 0.759
Episode 24 | Score: 20 | Total Reward: 189.10000000000005 | Epsilon: 0.755
Episode 25 | Score: 0 | Total Reward: -11.2 | Epsilon: 0.751
Episode 26 | Score: 0 | Total Reward: -10.8 | Epsilon: 0.748
Episode 27 | Score: 0 | Total Reward: -10.4 | Epsilon: 0.744
Episode 28 | Score: 0 | Total Reward: -11.2 | Epsilon: 0.740
Episode 29 | Score: 10 | Total Reward: 89.20000000000005 | Epsilon: 0.737
Episode 30 | Score: 0 | Total Reward: -10.7 | Epsilon: 0.733
Episode 31 | Score: 50 | Total Reward: 489.1999999999998 | Epsilon: 0.729
Episode 32 | Score: 20 | Total Reward: 187.50000000000014 | Epsilon: 0.726
Episode 33 | Score: 0 | Total Reward: -10.6 | Epsilon: 0.722
Episode 34 | Score: 0 | Total Reward: -11.0 | Epsilon: 0.718
Episode 35 | Score: 10 | Total Reward: 89.30000000000004 | Epsilon: 0.715
Episode 36 | Score: 0 | Total Reward: -11.4 | Epsilon: 0.711
Episode 37 | Score: 10 | Total Reward: 89.60000000000001 | Epsilon: 0.708
Episode 38 | Score: 10 | Total Reward: 89.30000000000001 | Epsilon: 0.704
Episode 39 | Score: 0 | Total Reward: -11.0 | Epsilon: 0.701
Episode 40 | Score: 10 | Total Reward: 88.70000000000007 | Epsilon: 0.697
Episode 41 | Score: 20 | Total Reward: 189.9 | Epsilon: 0.694
Episode 42 | Score: 20 | Total Reward: 189.8 | Epsilon: 0.690
Episode 43 | Score: 0 | Total Reward: -10.4 | Epsilon: 0.687
Episode 44 | Score: 10 | Total Reward: 88.3000000000001 | Epsilon: 0.683
Episode 45 | Score: 0 | Total Reward: -11.3 | Epsilon: 0.680
Episode 46 | Score: 0 | Total Reward: -10.9 | Epsilon: 0.676
Episode 47 | Score: 0 | Total Reward: -10.3 | Epsilon: 0.673
Episode 48 | Score: 10 | Total Reward: 89.60000000000001 | Epsilon: 0.670
Episode 49 | Score: 0 | Total Reward: -10.0 | Epsilon: 0.666
Episode 50 | Score: 0 | Total Reward: -11.9 | Epsilon: 0.663
Episode 51 | Score: 10 | Total Reward: 89.70000000000002 | Epsilon: 0.660
Episode 52 | Score: 0 | Total Reward: -10.3 | Epsilon: 0.656
Episode 53 | Score: 20 | Total Reward: 190.0 | Epsilon: 0.653
Episode 54 | Score: 10 | Total Reward: 86.70000000000005 | Epsilon: 0.650
Episode 55 | Score: 0 | Total Reward: -10.4 | Epsilon: 0.647
Episode 56 | Score: 0 | Total Reward: -10.7 | Epsilon: 0.643
Episode 57 | Score: 0 | Total Reward: -10.1 | Epsilon: 0.640
Episode 58 | Score: 10 | Total Reward: 87.80000000000008 | Epsilon: 0.637
Episode 59 | Score: 0 | Total Reward: -10.0 | Epsilon: 0.634
Episode 60 | Score: 10 | Total Reward: 89.70000000000002 | Epsilon: 0.631
Episode 61 | Score: 0 | Total Reward: -10.9 | Epsilon: 0.627
Episode 62 | Score: 0 | Total Reward: -11.4 | Epsilon: 0.624
